t0_3h,future_3h,realized_score
0,0,0.000000
0,1,0.003610
0,2,0.013193
0,3,0.027371
0,4,0.045191
0,5,0.065962
0,6,0.089158
0,7,0.114373
0,8,0.141278
0,9,0.169609
0,10,0.199145
0,11,0.229700
0,12,0.261120
0,13,0.293268
0,14,0.326029
0,15,0.359302
0,16,0.392999
0,17,0.427042
0,19,0.495900
0,21,0.565413
0,22,0.600297
0,24,0.670125
0,26,0.739817
0,28,0.809158
0,31,0.912135
0,33,0.979897
0,36,1.079942
0,39,1.177832
0,42,1.273372
0,45,1.366424
0,49,1.486476
0,53,1.601840
0,57,1.712489
0,62,1.844229
0,67,1.968826
0,73,2.109255
0,78,2.219046
0,85,2.362348
0,92,2.494336
0,99,2.500000
0,107,2.500000
0,116,2.500000
0,125,2.500000
0,135,2.500000
0,146,2.500000
0,157,2.500000
0,170,2.500000
0,184,2.500000
0,199,2.500000
0,214,2.500000
0,232,2.500000
0,250,2.500000
0,270,2.500000
0,292,2.500000
0,315,2.500000
0,340,2.500000
0,368,2.500000
0,397,2.500000
0,429,2.500000
0,463,2.500000
0,500,2.500000
0,540,2.500000
0,583,2.500000
0,630,2.500000
0,680,2.500000
0,735,2.500000
0,793,2.500000
0,857,2.500000
0,925,2.500000
0,999,2.500000
0,1079,2.500000
0,1165,2.500000
0,1258,2.500000
0,1358,2.500000
0,1467,2.500000
0,1584,2.500000
0,1710,2.500000
0,1847,2.500000
0,1994,2.500000
0,2153,2.500000
0,2325,2.500000
0,2511,2.500000
0,2711,2.500000
0,2928,2.500000
0,3161,2.500000
0,3414,2.500000
0,3686,2.500000
0,3980,2.500000
0,4298,2.500000
0,4641,2.500000
0,5011,2.500000
0,5411,2.500000
0,5842,2.500000
0,6309,2.500000
0,6812,2.500000
0,7355,2.500000
0,7942,2.500000
0,8576,2.500000
0,9260,2.500000
0,9999,2.500000
1,0,-0.003610
1,1,0.000000
1,2,0.008977
1,3,0.022118
1,4,0.038585
1,5,0.057764
1,6,0.079187
1,7,0.102486
